Application_ID,Employee_ID,Department,Role,Source,Application_Date,Interview_Date,Offer_Date,Joining_Date,Interview_Score,Assessment_Score,Offer_Accepted,Joined,Recruitment_Cost_INR,Recruiter
A002556,,Supply Chain,Planner,Job Portal,2016-12-05,2016-12-15,2016-12-25,,58,92,No,No,11140,Recruiter C
A002557,,Operations,Team Lead,Referral,2026-02-06,2026-02-17,2026-02-22,,56,52,No,No,5678,Recruiter C
A002558,E01285,Operations,Team Lead,Agency,2026-03-30,2026-04-03,2026-04-06,2026-05-04,62,83,Yes,Yes,17493,Recruiter B
A002559,,Operations,Team Lead,Referral,2026-02-28,2026-03-03,2026-03-06,,77,86,No,No,7705,Recruiter D
A002560,E01286,Technology,Data Scientist,Job Portal,2017-11-27,2017-12-13,2017-12-25,2018-01-09,56,83,Yes,Yes,15628,Recruiter D
A002561,E01287,Customer Success,Customer Success Manager,Job Portal,2023-05-29,2023-06-01,2023-06-04,2023-09-06,94,85,Yes,Yes,17227,Recruiter B
A002562,E01288,Operations,Operations Executive,Campus,2020-11-05,2020-11-10,2020-11-19,2020-12-27,67,75,Yes,Yes,6716,Recruiter D
A002563,,Marketing,Product Marketing Manager,Company Website,2025-06-02,2025-06-09,2025-06-17,,56,94,No,No,7476,Recruiter C
A002564,E01289,Marketing,Product Marketing Manager,Job Portal,2025-05-10,2025-05-27,2025-06-10,2025-07-01,56,52,Yes,Yes,11257,Recruiter B
A002565,E01290,Human Resources,L&D Specialist,LinkedIn,2018-06-03,2018-06-18,2018-07-02,2018-07-11,90,83,Yes,Yes,6011,Recruiter B
A002566,,Human Resources,L&D Specialist,Campus,2018-05-07,2018-05-21,2018-05-31,,65,55,No,No,7613,Recruiter A
A002567,,Customer Success,Support Analyst,Company Website,2017-10-11,2017-10-22,2017-11-01,,85,87,No,No,10933,Recruiter C
A002568,,Customer Success,Support Analyst,Campus,2017-10-03,2017-10-08,2017-10-13,,62,51,No,No,12170,Recruiter A
A002569,E01291,Customer Success,Support Analyst,Campus,2017-08-20,2017-09-04,2017-09-18,2017-11-27,69,63,Yes,Yes,3957,Recruiter C
A002570,,Sales,Account Manager,LinkedIn,2023-09-12,2023-09-28,2023-10-05,,66,65,No,No,16889,Recruiter C
A002571,,Sales,Account Manager,Campus,2023-11-04,2023-11-09,2023-11-15,,65,57,No,No,14878,Recruiter A
A002572,E01292,Sales,Account Manager,Job Portal,2023-08-24,2023-09-11,2023-09-20,2023-11-29,76,80,Yes,Yes,14700,Recruiter C
A002573,,Operations,Team Lead,Company Website,2024-12-11,2024-12-29,2025-01-09,,55,92,No,No,12679,Recruiter B
A002574,E01293,Operations,Team Lead,Company Website,2024-11-28,2024-12-08,2024-12-15,2025-03-04,89,84,Yes,Yes,10775,Recruiter B
A002575,,Operations,Team Lead,Campus,2025-02-06,2025-02-21,2025-02-27,,70,68,No,No,2878,Recruiter D
A002576,,Supply Chain,Logistics Manager,Referral,2024-02-04,2024-02-16,2024-02-26,,91,64,No,No,14234,Recruiter A
A002577,E01294,Supply Chain,Logistics Manager,LinkedIn,2024-02-12,2024-02-29,2024-03-04,2024-03-12,94,78,Yes,Yes,16385,Recruiter D
A002578,,Technology,Tech Lead,LinkedIn,2021-04-12,2021-04-27,2021-05-06,,57,53,No,No,16243,Recruiter D
A002579,E01295,Technology,Tech Lead,Referral,2021-02-07,2021-02-24,2021-03-08,2021-05-16,56,52,Yes,Yes,3175,Recruiter D
A002580,,Technology,Tech Lead,LinkedIn,2021-02-08,2021-02-11,2021-02-25,,72,75,Yes,No,2907,Recruiter B
A002581,E01296,Finance,Finance Manager,Campus,2020-01-27,2020-02-12,2020-02-17,2020-04-13,64,94,Yes,Yes,6212,Recruiter B
A002582,,Finance,Finance Manager,Job Portal,2020-03-07,2020-03-25,2020-03-28,,57,58,Yes,No,12727,Recruiter A
A002583,E01297,Marketing,Product Marketing Manager,Campus,2023-11-19,2023-12-06,2023-12-19,2024-01-05,92,53,Yes,Yes,6782,Recruiter B
A002584,E01298,Sales,Key Account Manager,LinkedIn,2025-03-12,2025-03-23,2025-03-28,2025-04-23,85,90,Yes,Yes,17475,Recruiter B
A002585,,Sales,Key Account Manager,LinkedIn,2025-03-24,2025-04-08,2025-04-16,,57,52,Yes,No,4722,Recruiter B
A002586,E01299,Technology,Tech Lead,Internal Mobility,2017-02-14,2017-02-20,2017-03-06,2017-04-23,93,91,Yes,Yes,14273,Recruiter A
A002587,,Technology,Tech Lead,Job Portal,2017-02-14,2017-03-03,2017-03-15,,81,86,No,No,10171,Recruiter D
A002588,E01300,Operations,Operations Executive,Job Portal,2021-07-23,2021-08-05,2021-08-19,2021-09-08,88,82,Yes,Yes,9264,Recruiter A
A002589,E01301,Human Resources,Talent Acquisition Specialist,Job Portal,2018-08-30,2018-09-17,2018-09-25,2018-10-02,55,77,Yes,Yes,12496,Recruiter B
A002590,,Human Resources,Talent Acquisition Specialist,Internal Mobility,2018-08-14,2018-08-30,2018-09-06,,81,81,No,No,4102,Recruiter C
A002591,E01302,Supply Chain,Procurement Specialist,Internal Mobility,2017-01-24,2017-02-06,2017-02-17,2017-03-25,72,91,Yes,Yes,12197,Recruiter D
A002592,,Supply Chain,Procurement Specialist,Internal Mobility,2017-01-26,2017-02-08,2017-02-11,,58,60,No,No,15162,Recruiter D
A002593,E01303,Supply Chain,Logistics Manager,Job Portal,2017-08-17,2017-08-25,2017-09-08,2017-11-12,82,67,Yes,Yes,4679,Recruiter A
A002594,,Marketing,Digital Marketing Analyst,Campus,2017-04-10,2017-04-27,2017-05-01,,68,84,No,No,14397,Recruiter B
A002595,,Marketing,Digital Marketing Analyst,Job Portal,2017-05-21,2017-06-01,2017-06-10,,92,84,No,No,17985,Recruiter C
A002596,E01304,Marketing,Digital Marketing Analyst,Internal Mobility,2017-05-30,2017-06-09,2017-06-18,2017-06-27,75,78,Yes,Yes,4439,Recruiter C
A002597,,Human Resources,HR Executive,LinkedIn,2026-04-18,2026-04-22,2026-05-02,,63,89,No,No,10574,Recruiter D
A002598,,Human Resources,HR Executive,Job Portal,2026-04-18,2026-05-06,2026-05-10,,70,80,No,No,11773,Recruiter D
A002599,E01305,Human Resources,HR Executive,LinkedIn,2026-02-27,2026-03-06,2026-03-13,2026-05-19,64,85,Yes,Yes,6651,Recruiter B
A002600,E01306,Supply Chain,Planner,Internal Mobility,2023-09-17,2023-09-28,2023-10-11,2023-12-17,78,64,Yes,Yes,12525,Recruiter D
A002601,,Human Resources,HR Manager,Agency,2023-07-05,2023-07-15,2023-07-26,,60,77,No,No,13534,Recruiter D
A002602,E01307,Human Resources,HR Manager,Campus,2023-06-28,2023-07-07,2023-07-09,2023-09-13,87,74,Yes,Yes,15352,Recruiter D
A002603,,Human Resources,HR Manager,Agency,2023-07-11,2023-07-24,2023-07-31,,71,86,Yes,No,14178,Recruiter A
A002604,,Operations,Team Lead,Referral,2019-04-07,2019-04-22,2019-05-01,,74,68,No,No,3612,Recruiter D
A002605,E01308,Operations,Team Lead,Referral,2019-03-08,2019-03-16,2019-03-20,2019-06-16,62,62,Yes,Yes,15317,Recruiter C
A002606,,Operations,Team Lead,Referral,2019-04-11,2019-04-22,2019-05-01,,89,71,No,No,15845,Recruiter B
A002607,E01309,Customer Success,Customer Success Executive,Company Website,2019-11-07,2019-11-11,2019-11-16,2019-12-31,56,72,Yes,Yes,15524,Recruiter A
A002608,,Customer Success,Customer Success Executive,Job Portal,2019-10-01,2019-10-12,2019-10-16,,82,95,Yes,No,13713,Recruiter A
A002609,,Customer Success,Customer Success Executive,Job Portal,2019-11-14,2019-11-28,2019-12-06,,86,58,No,No,4154,Recruiter A
A002610,,Operations,Operations Manager,Campus,2020-04-14,2020-04-19,2020-04-24,,78,57,No,No,2563,Recruiter D
A002611,E01310,Operations,Operations Manager,Campus,2020-06-08,2020-06-10,2020-06-22,2020-07-11,74,70,Yes,Yes,13381,Recruiter A
A002612,,Operations,Operations Manager,Job Portal,2020-04-07,2020-04-23,2020-05-07,,74,60,No,No,4681,Recruiter D
A002613,E01311,Customer Success,Customer Success Executive,Agency,2018-04-28,2018-05-02,2018-05-05,2018-06-19,75,73,Yes,Yes,2526,Recruiter A
A002614,,Customer Success,Customer Success Executive,Agency,2018-03-22,2018-03-25,2018-03-31,,62,93,No,No,11754,Recruiter D
A002615,E01312,Human Resources,L&D Specialist,Job Portal,2020-04-10,2020-04-14,2020-04-21,2020-06-24,92,54,Yes,Yes,7614,Recruiter A
A002616,,Human Resources,L&D Specialist,Agency,2020-03-27,2020-04-03,2020-04-07,,69,83,Yes,No,2691,Recruiter D
A002617,E01313,Human Resources,Talent Acquisition Specialist,Campus,2024-08-17,2024-09-01,2024-09-12,2024-10-17,56,78,Yes,Yes,8972,Recruiter C
A002618,,Human Resources,Talent Acquisition Specialist,Company Website,2024-08-10,2024-08-24,2024-09-03,,88,61,Yes,No,5791,Recruiter B
A002619,,Customer Success,Customer Success Executive,Agency,2025-08-18,2025-08-29,2025-09-06,,86,57,Yes,No,3404,Recruiter B
A002620,E01314,Customer Success,Customer Success Executive,LinkedIn,2025-08-19,2025-08-31,2025-09-07,2025-10-18,65,62,Yes,Yes,4910,Recruiter C
A002621,E01315,Marketing,Product Marketing Manager,Agency,2017-01-23,2017-02-04,2017-02-08,2017-03-06,68,94,Yes,Yes,8129,Recruiter C
A002622,E01316,Human Resources,HR Executive,LinkedIn,2018-01-15,2018-01-26,2018-01-28,2018-02-21,84,84,Yes,Yes,17062,Recruiter C
A002623,E01317,Human Resources,HR Business Partner,Internal Mobility,2024-11-17,2024-11-30,2024-12-10,2025-01-09,74,74,Yes,Yes,12138,Recruiter D
A002624,,Human Resources,HR Business Partner,LinkedIn,2024-12-09,2024-12-15,2024-12-24,,71,71,No,No,15295,Recruiter B
A002625,E01318,Supply Chain,Logistics Manager,LinkedIn,2022-06-12,2022-06-14,2022-06-21,2022-07-17,90,88,Yes,Yes,6671,Recruiter A
A002626,E01319,Finance,Finance Analyst,Referral,2022-09-01,2022-09-06,2022-09-14,2022-12-08,80,63,Yes,Yes,6512,Recruiter A
A002627,,Finance,Finance Analyst,Agency,2022-11-11,2022-11-25,2022-11-30,,73,87,Yes,No,15959,Recruiter B
A002628,,Finance,Finance Analyst,Company Website,2022-11-03,2022-11-15,2022-11-26,,55,52,No,No,17493,Recruiter D
A002629,E01320,Supply Chain,Supply Chain Analyst,Company Website,2022-03-21,2022-04-08,2022-04-20,2022-06-04,88,74,Yes,Yes,7838,Recruiter C
A002630,E01321,Marketing,Digital Marketing Analyst,Internal Mobility,2020-04-13,2020-04-26,2020-05-04,2020-06-29,86,70,Yes,Yes,17476,Recruiter C
A002631,,Sales,Sales Analyst,Internal Mobility,2017-04-16,2017-05-01,2017-05-04,,56,59,No,No,8786,Recruiter C
A002632,E01322,Sales,Sales Analyst,Campus,2017-03-23,2017-03-27,2017-04-05,2017-06-26,95,59,Yes,Yes,15941,Recruiter C
A002633,E01323,Operations,Operations Manager,Agency,2022-10-25,2022-11-05,2022-11-17,2023-01-11,80,92,Yes,Yes,5971,Recruiter D
A002634,,Operations,Operations Manager,Campus,2022-10-06,2022-10-18,2022-11-01,,57,94,Yes,No,8574,Recruiter B
A002635,E01324,Human Resources,HR Business Partner,Job Portal,2023-03-24,2023-04-05,2023-04-11,2023-06-11,68,95,Yes,Yes,14757,Recruiter B
A002636,E01325,Sales,Account Manager,Job Portal,2022-09-12,2022-09-15,2022-09-25,2022-11-07,65,90,Yes,Yes,17416,Recruiter B
A002637,,Sales,Account Manager,Referral,2022-09-26,2022-10-07,2022-10-18,,76,89,Yes,No,17709,Recruiter D
A002638,E01326,Supply Chain,Planner,Referral,2017-02-07,2017-02-10,2017-02-14,2017-03-23,58,92,Yes,Yes,2503,Recruiter D
A002639,,Supply Chain,Planner,Referral,2017-01-14,2017-01-19,2017-01-23,,78,55,Yes,No,5053,Recruiter B
A002640,,Supply Chain,Planner,Job Portal,2017-02-11,2017-02-21,2017-03-02,,89,81,No,No,8367,Recruiter B
A002641,E01327,Human Resources,Talent Acquisition Specialist,Company Website,2020-02-09,2020-02-22,2020-03-06,2020-04-29,63,74,Yes,Yes,15932,Recruiter B
A002642,E01328,Supply Chain,Planner,Internal Mobility,2024-09-29,2024-10-08,2024-10-21,2024-10-29,93,91,Yes,Yes,10533,Recruiter D
A002643,E01329,Finance,Finance Manager,Agency,2021-10-14,2021-10-29,2021-11-03,2021-11-19,56,52,Yes,Yes,16715,Recruiter A
A002644,E01330,Marketing,Marketing Executive,Company Website,2023-09-08,2023-09-26,2023-10-08,2023-11-13,88,68,Yes,Yes,11154,Recruiter C
A002645,E01331,Human Resources,L&D Specialist,Agency,2024-12-13,2024-12-17,2024-12-24,2025-03-18,83,84,Yes,Yes,14832,Recruiter B
A002646,,Human Resources,HR Executive,LinkedIn,2020-02-06,2020-02-15,2020-02-23,,55,71,No,No,17103,Recruiter C
A002647,,Human Resources,HR Executive,Campus,2020-02-19,2020-02-25,2020-03-10,,92,65,Yes,No,11263,Recruiter D
A002648,E01332,Human Resources,HR Executive,LinkedIn,2020-02-24,2020-03-03,2020-03-11,2020-03-31,72,84,Yes,Yes,8337,Recruiter B
A002649,E01333,Marketing,Brand Manager,Internal Mobility,2019-11-16,2019-11-20,2019-11-27,2020-02-12,80,79,Yes,Yes,3258,Recruiter B
A002650,,Marketing,Brand Manager,Referral,2020-01-15,2020-01-29,2020-02-01,,75,54,Yes,No,7701,Recruiter C
A002651,,Finance,Senior Finance Analyst,Referral,2019-08-12,2019-08-24,2019-09-02,,78,70,No,No,5889,Recruiter A
A002652,,Finance,Senior Finance Analyst,Campus,2019-08-23,2019-09-04,2019-09-17,,74,95,Yes,No,14806,Recruiter B
A002653,E01334,Finance,Senior Finance Analyst,Job Portal,2019-08-24,2019-09-11,2019-09-21,2019-10-07,95,92,Yes,Yes,4049,Recruiter A
A002654,E01335,Marketing,Marketing Executive,Agency,2023-05-01,2023-05-18,2023-05-22,2023-07-01,87,64,Yes,Yes,11857,Recruiter C
A002655,E01336,Technology,Software Engineer,Company Website,2017-11-13,2017-11-24,2017-12-04,2018-02-21,94,67,Yes,Yes,2923,Recruiter C
A002656,,Technology,Software Engineer,Internal Mobility,2017-11-13,2017-11-18,2017-11-27,,89,83,No,No,13465,Recruiter B
A002657,,Technology,Software Engineer,Internal Mobility,2017-12-27,2018-01-02,2018-01-09,,64,63,No,No,7960,Recruiter D
A002658,E01337,Customer Success,Customer Success Manager,Internal Mobility,2017-10-19,2017-10-28,2017-10-31,2017-12-26,74,95,Yes,Yes,11863,Recruiter B
A002659,,Customer Success,Customer Success Manager,Internal Mobility,2017-10-14,2017-10-28,2017-11-03,,71,76,Yes,No,7449,Recruiter C
A002660,,Customer Success,Customer Success Manager,LinkedIn,2017-11-27,2017-12-15,2017-12-17,,94,81,No,No,4395,Recruiter C
A002661,,Human Resources,HR Manager,Job Portal,2020-10-04,2020-10-13,2020-10-23,,59,54,Yes,No,15427,Recruiter A
A002662,E01338,Human Resources,HR Manager,Company Website,2020-12-02,2020-12-19,2020-12-25,2021-01-06,70,63,Yes,Yes,9366,Recruiter C
A002663,,Human Resources,HR Manager,LinkedIn,2020-09-28,2020-10-13,2020-10-22,,58,89,No,No,12013,Recruiter D
A002664,,Customer Success,Customer Success Executive,Referral,2020-10-09,2020-10-15,2020-10-22,,80,53,No,No,11727,Recruiter C
A002665,,Customer Success,Customer Success Executive,Job Portal,2020-10-18,2020-10-26,2020-11-09,,87,95,Yes,No,11530,Recruiter C
A002666,E01339,Customer Success,Customer Success Executive,Internal Mobility,2020-11-27,2020-12-06,2020-12-15,2020-12-23,69,79,Yes,Yes,14671,Recruiter C
A002667,E01340,Customer Success,Customer Success Executive,Company Website,2019-03-22,2019-03-30,2019-04-10,2019-05-02,69,72,Yes,Yes,5903,Recruiter D
A002668,,Operations,Operations Analyst,Agency,2020-05-21,2020-05-23,2020-05-26,,88,62,No,No,3049,Recruiter C
A002669,E01341,Operations,Operations Analyst,Internal Mobility,2020-05-22,2020-06-08,2020-06-15,2020-06-18,82,55,Yes,Yes,2786,Recruiter B
A002670,,Operations,Operations Analyst,Job Portal,2020-03-22,2020-03-29,2020-04-12,,70,94,No,No,10030,Recruiter A
A002671,,Human Resources,L&D Specialist,LinkedIn,2021-12-18,2021-12-26,2021-12-30,,73,80,No,No,8452,Recruiter B
A002672,,Human Resources,L&D Specialist,Company Website,2021-12-12,2021-12-25,2021-12-30,,61,89,Yes,No,2792,Recruiter C
A002673,E01342,Human Resources,L&D Specialist,Referral,2021-11-11,2021-11-25,2021-12-07,2022-02-12,67,69,Yes,Yes,17354,Recruiter D
A002674,E01343,Finance,Finance Manager,Company Website,2016-10-25,2016-10-28,2016-11-02,2017-01-25,65,87,Yes,Yes,9895,Recruiter D
A002675,E01344,Human Resources,L&D Specialist,Agency,2018-04-08,2018-04-19,2018-05-02,2018-05-08,76,70,Yes,Yes,12982,Recruiter A
A002676,,Human Resources,L&D Specialist,LinkedIn,2018-04-11,2018-04-16,2018-04-20,,77,50,Yes,No,8696,Recruiter C
A002677,,Human Resources,L&D Specialist,Job Portal,2018-02-07,2018-02-22,2018-03-08,,57,57,Yes,No,13376,Recruiter B
A002678,E01345,Sales,Account Manager,Internal Mobility,2017-10-31,2017-11-07,2017-11-10,2017-12-23,71,81,Yes,Yes,13493,Recruiter C
A002679,,Sales,Account Manager,Referral,2017-10-15,2017-10-21,2017-11-03,,69,88,No,No,8446,Recruiter D
A002680,E01346,Marketing,Digital Marketing Analyst,Campus,2025-12-24,2026-01-04,2026-01-09,2026-03-08,91,50,Yes,Yes,3751,Recruiter D
A002681,E01347,Supply Chain,Logistics Manager,Company Website,2023-10-19,2023-10-25,2023-11-07,2023-12-21,61,81,Yes,Yes,16608,Recruiter D
A002682,,Supply Chain,Logistics Manager,LinkedIn,2023-11-23,2023-12-06,2023-12-17,,87,71,No,No,11387,Recruiter D
A002683,,Supply Chain,Supply Chain Analyst,LinkedIn,2023-11-07,2023-11-25,2023-11-29,,71,80,No,No,11631,Recruiter D
A002684,E01348,Supply Chain,Supply Chain Analyst,Referral,2023-11-11,2023-11-22,2023-12-06,2024-02-08,90,63,Yes,Yes,16861,Recruiter C
A002685,,Sales,Sales Executive,Agency,2022-05-11,2022-05-20,2022-06-03,,84,67,Yes,No,5274,Recruiter B
A002686,,Sales,Sales Executive,Company Website,2022-04-29,2022-05-14,2022-05-24,,77,91,Yes,No,11478,Recruiter B
A002687,E01349,Sales,Sales Executive,Job Portal,2022-05-17,2022-05-20,2022-05-25,2022-08-06,91,58,Yes,Yes,10776,Recruiter B
A002688,E01350,Operations,Team Lead,Company Website,2020-02-21,2020-03-04,2020-03-16,2020-04-26,91,85,Yes,Yes,17591,Recruiter D
A002689,,Operations,Team Lead,LinkedIn,2020-01-27,2020-02-13,2020-02-16,,74,94,Yes,No,2813,Recruiter B
A002690,E01351,Marketing,Brand Manager,Agency,2022-09-09,2022-09-20,2022-10-02,2022-11-03,83,80,Yes,Yes,6001,Recruiter C
A002691,,Marketing,Brand Manager,Job Portal,2022-09-15,2022-10-03,2022-10-06,,76,75,Yes,No,3867,Recruiter A
A002692,,Customer Success,Customer Success Manager,Job Portal,2023-03-31,2023-04-05,2023-04-14,,78,50,No,No,17519,Recruiter A
A002693,E01352,Customer Success,Customer Success Manager,LinkedIn,2023-03-13,2023-03-28,2023-04-09,2023-06-14,95,85,Yes,Yes,17097,Recruiter B
A002694,E01353,Sales,Sales Executive,Referral,2024-08-16,2024-08-31,2024-09-07,2024-09-11,88,74,Yes,Yes,16983,Recruiter D
A002695,,Operations,Operations Executive,Campus,2022-01-17,2022-01-19,2022-01-28,,65,81,No,No,17306,Recruiter D
A002696,E01354,Operations,Operations Executive,Internal Mobility,2021-12-28,2022-01-15,2022-01-19,2022-03-18,82,84,Yes,Yes,16966,Recruiter D
A002697,,Finance,Finance Analyst,Company Website,2026-06-09,2026-06-22,2026-07-06,,71,51,No,No,14349,Recruiter B
A002698,E01355,Finance,Finance Analyst,Referral,2026-04-30,2026-05-15,2026-05-22,2026-07-28,81,66,Yes,Yes,5997,Recruiter A
A002699,,Finance,Finance Analyst,LinkedIn,2026-06-10,2026-06-28,2026-07-05,,80,62,Yes,No,12924,Recruiter D
A002700,,Human Resources,HR Business Partner,Campus,2021-02-16,2021-02-21,2021-02-28,,79,82,No,No,7305,Recruiter B
A002701,E01356,Human Resources,HR Business Partner,Referral,2021-01-24,2021-02-03,2021-02-09,2021-04-02,73,70,Yes,Yes,6293,Recruiter A
A002702,E01357,Supply Chain,Logistics Manager,Agency,2018-08-23,2018-09-10,2018-09-15,2018-10-14,55,67,Yes,Yes,12507,Recruiter C
A002703,,Supply Chain,Logistics Manager,Internal Mobility,2018-07-21,2018-08-08,2018-08-14,,81,90,Yes,No,15611,Recruiter B
A002704,,Supply Chain,Logistics Manager,LinkedIn,2018-07-08,2018-07-14,2018-07-19,,95,67,No,No,10009,Recruiter B
A002705,,Operations,Operations Executive,Internal Mobility,2024-10-02,2024-10-15,2024-10-22,,68,54,No,No,10139,Recruiter A
A002706,,Operations,Operations Executive,Job Portal,2024-09-04,2024-09-15,2024-09-20,,57,83,No,No,17209,Recruiter B
A002707,E01358,Operations,Operations Executive,Campus,2024-10-09,2024-10-14,2024-10-21,2024-11-13,82,59,Yes,Yes,9736,Recruiter C
A002708,,Sales,Account Manager,Agency,2026-06-01,2026-06-17,2026-06-22,,62,56,Yes,No,2564,Recruiter A
A002709,E01359,Sales,Account Manager,Campus,2026-06-22,2026-06-28,2026-06-30,2026-07-19,74,77,Yes,Yes,17463,Recruiter B
A002710,,Marketing,Digital Marketing Analyst,Agency,2017-07-23,2017-07-28,2017-08-05,,68,66,No,No,3982,Recruiter C
A002711,,Marketing,Digital Marketing Analyst,LinkedIn,2017-09-03,2017-09-21,2017-09-30,,93,68,Yes,No,5950,Recruiter A
A002712,E01360,Marketing,Digital Marketing Analyst,Referral,2017-08-26,2017-09-11,2017-09-13,2017-10-28,55,52,Yes,Yes,4269,Recruiter C
A002713,E01361,Marketing,Marketing Executive,Campus,2018-07-17,2018-07-27,2018-08-04,2018-08-20,72,78,Yes,Yes,16224,Recruiter C
A002714,,Marketing,Marketing Executive,Job Portal,2018-06-14,2018-06-16,2018-06-22,,72,88,No,No,9409,Recruiter A
A002715,,Marketing,Marketing Executive,Agency,2018-06-20,2018-06-26,2018-07-05,,71,77,No,No,8152,Recruiter B
A002716,E01362,Human Resources,Talent Acquisition Specialist,LinkedIn,2020-01-23,2020-02-02,2020-02-10,2020-02-29,73,87,Yes,Yes,8071,Recruiter C
A002717,,Customer Success,Support Analyst,LinkedIn,2018-12-18,2018-12-28,2019-01-10,,71,60,Yes,No,4746,Recruiter D
A002718,E01363,Customer Success,Support Analyst,Agency,2019-01-15,2019-01-19,2019-01-31,2019-03-12,71,73,Yes,Yes,14278,Recruiter C
A002719,,Operations,Team Lead,Internal Mobility,2021-01-17,2021-01-28,2021-02-11,,93,95,Yes,No,7771,Recruiter D
A002720,E01364,Operations,Team Lead,Company Website,2021-01-31,2021-02-13,2021-02-16,2021-04-07,62,74,Yes,Yes,5352,Recruiter A
A002721,,Operations,Team Lead,Agency,2020-12-31,2021-01-15,2021-01-28,,61,57,No,No,12353,Recruiter B
A002722,E01365,Customer Success,Customer Success Manager,Company Website,2021-11-15,2021-12-02,2021-12-07,2021-12-31,90,67,Yes,Yes,6851,Recruiter C
A002723,E01366,Technology,Data Scientist,Company Website,2021-08-22,2021-09-03,2021-09-10,2021-10-05,91,87,Yes,Yes,4925,Recruiter A
A002724,E01367,Sales,Sales Analyst,Campus,2017-04-14,2017-05-01,2017-05-09,2017-07-08,76,84,Yes,Yes,5515,Recruiter D
A002725,,Sales,Sales Analyst,Referral,2017-04-10,2017-04-12,2017-04-15,,90,90,No,No,15528,Recruiter D
A002726,E01368,Customer Success,Customer Success Manager,Agency,2018-06-03,2018-06-05,2018-06-19,2018-08-21,60,83,Yes,Yes,12998,Recruiter A
A002727,,Customer Success,Customer Success Manager,Referral,2018-06-19,2018-06-25,2018-07-07,,59,68,No,No,9951,Recruiter B
A002728,,Customer Success,Customer Success Manager,Campus,2018-06-12,2018-06-19,2018-06-29,,63,67,No,No,17407,Recruiter C
A002729,,Supply Chain,Logistics Manager,LinkedIn,2020-05-14,2020-05-31,2020-06-07,,70,52,No,No,15235,Recruiter C
A002730,E01369,Supply Chain,Logistics Manager,Internal Mobility,2020-05-10,2020-05-21,2020-06-04,2020-08-13,77,86,Yes,Yes,5666,Recruiter D
A002731,,Operations,Team Lead,Job Portal,2019-02-01,2019-02-17,2019-02-22,,76,72,No,No,10074,Recruiter A
A002732,E01370,Operations,Team Lead,LinkedIn,2019-02-20,2019-03-01,2019-03-08,2019-03-18,72,52,Yes,Yes,12081,Recruiter A
A002733,E01371,Supply Chain,Procurement Specialist,Referral,2020-03-27,2020-04-06,2020-04-09,2020-05-20,68,57,Yes,Yes,12696,Recruiter D
A002734,E01372,Marketing,Marketing Executive,Company Website,2018-02-08,2018-02-13,2018-02-24,2018-04-10,73,61,Yes,Yes,6024,Recruiter C
A002735,,Marketing,Marketing Executive,LinkedIn,2018-02-15,2018-03-04,2018-03-11,,63,69,Yes,No,6581,Recruiter B
A002736,E01373,Sales,Account Manager,Referral,2020-08-31,2020-09-04,2020-09-12,2020-10-13,88,71,Yes,Yes,7023,Recruiter D
A002737,,Customer Success,Customer Success Executive,LinkedIn,2025-01-09,2025-01-22,2025-02-02,,55,64,No,No,14040,Recruiter B
A002738,,Customer Success,Customer Success Executive,Company Website,2025-02-21,2025-03-06,2025-03-13,,72,70,No,No,17980,Recruiter C
A002739,E01374,Customer Success,Customer Success Executive,Referral,2025-02-02,2025-02-17,2025-03-03,2025-03-29,70,53,Yes,Yes,15720,Recruiter A
A002740,E01375,Finance,Finance Analyst,Campus,2017-12-19,2017-12-25,2018-01-06,2018-02-19,79,52,Yes,Yes,15079,Recruiter C
A002741,E01376,Marketing,Marketing Executive,LinkedIn,2025-11-24,2025-12-08,2025-12-17,2026-01-25,95,92,Yes,Yes,14886,Recruiter D
A002742,,Marketing,Marketing Executive,Company Website,2025-12-21,2026-01-01,2026-01-04,,65,85,No,No,17409,Recruiter B
A002743,E01377,Customer Success,Customer Success Executive,Agency,2022-10-12,2022-10-27,2022-11-02,2023-01-18,73,52,Yes,Yes,8025,Recruiter B
A002744,,Technology,Senior Software Engineer,Referral,2021-02-05,2021-02-11,2021-02-19,,92,60,No,No,3964,Recruiter A
A002745,E01378,Technology,Senior Software Engineer,Job Portal,2021-04-06,2021-04-20,2021-04-27,2021-05-09,58,94,Yes,Yes,16211,Recruiter A
A002746,,Operations,Operations Manager,Job Portal,2020-04-24,2020-04-27,2020-05-09,,78,67,No,No,3268,Recruiter D
A002747,E01379,Operations,Operations Manager,LinkedIn,2020-02-26,2020-03-04,2020-03-09,2020-05-25,72,79,Yes,Yes,16695,Recruiter B
A002748,E01380,Operations,Team Lead,Job Portal,2025-05-10,2025-05-20,2025-06-01,2025-07-29,76,87,Yes,Yes,14103,Recruiter C
A002749,,Operations,Team Lead,LinkedIn,2025-06-26,2025-07-09,2025-07-23,,70,54,Yes,No,7609,Recruiter B
A002750,,Customer Success,Customer Success Executive,Agency,2024-09-02,2024-09-06,2024-09-17,,68,57,No,No,5335,Recruiter D
A002751,,Customer Success,Customer Success Executive,Campus,2024-10-16,2024-10-27,2024-11-05,,89,58,No,No,6175,Recruiter B
A002752,E01381,Customer Success,Customer Success Executive,LinkedIn,2024-08-10,2024-08-21,2024-09-04,2024-11-14,63,60,Yes,Yes,13790,Recruiter C
