Training_ID,Employee_ID,Course_Name,Training_Date,Training_Hours,Delivery_Mode,Completion_Status,Pre_Assessment_Score,Post_Assessment_Score,Training_Cost_INR
T003175,E01375,Power BI,2024-07-02,12,Online,Completed,43,52,7711
T003176,E01375,Advanced Excel,2024-07-21,8,Classroom,Completed,49,60,9369
T003177,E01375,Leadership Essentials,2024-02-25,24,Online,Completed,64,73,4803
T003178,E01377,Python Analytics,2024-02-28,8,Online,Completed,43,53,6282
T003179,E01377,Leadership Essentials,2025-08-29,24,Classroom,Completed,71,87,2763
T003180,E01377,Advanced Excel,2026-03-25,4,Blended,Completed,76,100,2971
T003181,E01377,Leadership Essentials,2025-10-20,16,Classroom,Completed,74,98,1718
T003182,E01377,Negotiation,2026-02-24,8,Online,Completed,56,61,8425
T003183,E01378,Communication Skills,2024-12-28,12,Classroom,Completed,58,85,5815
T003184,E01378,Communication Skills,2025-03-07,6,Classroom,Completed,76,96,6534
T003185,E01378,Leadership Essentials,2024-02-17,16,Online,Completed,75,95,9012
T003186,E01378,Python Analytics,2024-03-11,12,Online,Completed,66,77,12425
T003187,E01378,Power BI,2025-12-04,12,Online,Completed,56,64,9807
T003188,E01379,Project Management,2026-03-23,2,Classroom,Completed,75,81,9488
T003189,E01379,Advanced Excel,2024-08-19,6,Blended,Completed,76,82,13434
T003190,E01380,Project Management,2025-12-02,4,Blended,Completed,59,75,5847
T003191,E01380,Advanced Excel,2026-03-01,24,Blended,Completed,62,81,11094
T003192,E01380,Python Analytics,2025-08-18,24,Online,Incomplete,43,53,14409
T003193,E01380,Project Management,2025-12-27,6,Blended,Completed,50,60,3081
T003194,E01381,GenAI for Business,2026-01-16,2,Classroom,Completed,72,78,3770
T003195,E01381,Cloud Fundamentals,2026-05-02,2,Online,Completed,41,53,6130
T003196,E01381,Negotiation,2025-03-25,12,Online,Completed,40,48,3329
T003197,E01382,Leadership Essentials,2024-09-26,8,Blended,Completed,47,70,11864
T003198,E01382,Communication Skills,2025-05-12,16,Classroom,Completed,49,55,8513
T003199,E01383,Cloud Fundamentals,2024-01-15,16,Online,Completed,40,57,14037
T003200,E01384,Negotiation,2024-12-21,16,Classroom,Completed,75,92,7344
T003201,E01384,Leadership Essentials,2026-05-28,4,Online,Completed,72,94,12579
T003202,E01384,Advanced Excel,2026-05-11,4,Online,Completed,40,54,13616
T003203,E01384,Power BI,2024-07-19,12,Online,Completed,57,69,3080
T003204,E01384,GenAI for Business,2024-06-15,12,Classroom,Completed,41,53,8733
T003205,E01385,Data Privacy,2026-03-21,2,Blended,Completed,63,77,4416
T003206,E01385,GenAI for Business,2026-06-09,24,Online,Completed,70,93,2082
T003207,E01386,Negotiation,2024-02-24,24,Blended,Completed,68,95,14302
T003208,E01386,Cloud Fundamentals,2026-02-16,6,Online,Completed,40,53,4574
T003209,E01386,GenAI for Business,2025-05-09,8,Online,Completed,75,90,11080
T003210,E01386,Data Privacy,2025-03-14,24,Blended,Completed,77,91,11321
T003211,E01386,GenAI for Business,2025-07-28,2,Blended,Completed,43,61,11321
T003212,E01388,Advanced Excel,2026-07-27,12,Online,Completed,55,70,6611
T003213,E01389,Cloud Fundamentals,2026-02-11,6,Blended,Completed,70,84,2685
T003214,E01390,GenAI for Business,2024-08-28,24,Classroom,Incomplete,51,74,9009
T003215,E01390,Communication Skills,2025-11-08,2,Classroom,Completed,77,100,11444
T003216,E01390,Cloud Fundamentals,2025-03-14,12,Blended,Completed,74,91,9230
T003217,E01392,GenAI for Business,2025-05-21,6,Classroom,Completed,48,71,9925
T003218,E01392,Leadership Essentials,2025-04-14,8,Blended,Completed,47,57,4467
T003219,E01392,Cloud Fundamentals,2025-08-14,8,Online,Completed,75,80,12967
T003220,E01392,Leadership Essentials,2025-03-11,24,Blended,Completed,75,92,14732
T003221,E01392,Project Management,2026-01-09,12,Blended,Completed,61,77,1930
T003222,E01393,Negotiation,2024-08-12,16,Classroom,Completed,50,69,14557
T003223,E01393,Data Privacy,2024-04-23,24,Online,Completed,64,87,11776
T003224,E01393,GenAI for Business,2026-04-15,6,Classroom,Completed,69,83,4476
T003225,E01394,Project Management,2026-03-21,24,Online,Completed,52,63,8241
T003226,E01395,Leadership Essentials,2025-05-15,6,Online,Completed,75,100,9093
T003227,E01395,Project Management,2025-11-08,16,Online,Completed,78,94,3026
T003228,E01395,Advanced Excel,2026-04-26,4,Classroom,Incomplete,77,84,3455
T003229,E01395,Negotiation,2024-04-12,2,Classroom,Completed,73,100,6974
T003230,E01395,GenAI for Business,2025-08-09,6,Classroom,Completed,64,78,8824
T003231,E01397,Data Privacy,2025-11-02,4,Blended,Completed,62,90,6033
T003232,E01397,Project Management,2025-01-31,12,Classroom,Completed,76,94,9506
T003233,E01397,Communication Skills,2026-05-02,16,Blended,Completed,61,82,11210
T003234,E01399,Leadership Essentials,2024-10-17,16,Classroom,Completed,50,70,6434
T003235,E01399,Python Analytics,2024-04-08,6,Online,Completed,48,60,13048
T003236,E01399,Advanced Excel,2025-07-03,16,Classroom,Completed,65,84,9212
T003237,E01399,Cloud Fundamentals,2025-01-05,8,Classroom,Completed,54,67,1896
T003238,E01400,Project Management,2024-08-08,2,Blended,Completed,64,76,12067
T003239,E01400,Leadership Essentials,2024-04-20,2,Blended,Completed,55,67,9813
T003240,E01400,GenAI for Business,2024-10-26,12,Online,Completed,52,78,2033
T003241,E01400,Negotiation,2024-04-30,6,Blended,Completed,60,87,6545
T003242,E01400,Negotiation,2024-07-07,24,Online,Completed,55,67,5853
T003243,E01401,Power BI,2024-09-23,2,Classroom,Completed,68,81,13572
T003244,E01401,Cloud Fundamentals,2026-05-18,4,Online,Completed,44,58,14892
T003245,E01401,Python Analytics,2025-05-18,12,Blended,Completed,66,71,2412
T003246,E01402,Leadership Essentials,2025-11-20,12,Blended,Completed,45,54,8546
T003247,E01405,Advanced Excel,2024-08-30,4,Online,Completed,55,83,7737
T003248,E01405,Advanced Excel,2025-05-15,2,Online,Completed,53,79,6600
T003249,E01405,Advanced Excel,2025-07-23,8,Blended,Completed,55,77,13825
T003250,E01405,Project Management,2026-08-16,2,Classroom,Completed,73,96,9805
T003251,E01405,Advanced Excel,2026-07-10,8,Classroom,Completed,56,70,12238
T003252,E01406,Power BI,2025-09-27,4,Blended,Incomplete,49,77,5947
T003253,E01406,GenAI for Business,2025-10-26,6,Online,Completed,61,74,12131
T003254,E01406,GenAI for Business,2025-12-13,4,Blended,Completed,76,89,13329
T003255,E01406,GenAI for Business,2026-06-06,4,Online,Completed,40,45,2478
T003256,E01407,Power BI,2024-10-06,2,Online,Completed,45,66,9045
T003257,E01407,Project Management,2024-07-12,16,Blended,Completed,63,74,1743
T003258,E01407,GenAI for Business,2026-03-26,8,Classroom,Completed,58,71,6890
T003259,E01407,Communication Skills,2024-04-02,16,Classroom,Completed,65,86,4379
T003260,E01407,Advanced Excel,2024-07-14,12,Online,Completed,71,81,4844
T003261,E01408,Leadership Essentials,2025-05-16,12,Online,Completed,74,82,3460
T003262,E01408,Project Management,2024-11-12,24,Classroom,Completed,54,82,1898
T003263,E01409,Negotiation,2026-07-09,24,Online,Completed,78,85,8061
T003264,E01410,Project Management,2026-06-28,24,Classroom,Completed,71,76,2317
T003265,E01410,Leadership Essentials,2026-08-06,2,Online,Completed,72,88,2160
T003266,E01410,Project Management,2026-08-23,24,Blended,Completed,75,92,8867
T003267,E01410,Power BI,2026-08-25,6,Classroom,Completed,58,81,10323
T003268,E01410,Python Analytics,2026-08-25,12,Blended,Completed,51,63,9635
T003269,E01411,Leadership Essentials,2026-01-09,24,Classroom,Completed,67,78,3324
T003270,E01413,Communication Skills,2026-01-02,2,Classroom,Completed,60,72,8329
T003271,E01413,Data Privacy,2024-10-02,24,Classroom,Completed,46,52,13270
T003272,E01414,Negotiation,2024-02-25,8,Classroom,Completed,64,90,2362
T003273,E01414,Communication Skills,2024-10-07,4,Online,Completed,73,81,14186
T003274,E01414,Python Analytics,2024-01-20,24,Online,Completed,58,85,3156
T003275,E01414,GenAI for Business,2025-03-08,12,Blended,Incomplete,64,80,12087
T003276,E01414,Negotiation,2024-07-17,6,Online,Incomplete,50,61,9085
T003277,E01415,Advanced Excel,2026-07-28,16,Online,Completed,72,100,6198
T003278,E01415,Data Privacy,2026-06-23,12,Blended,Completed,43,71,4588
T003279,E01415,Project Management,2026-08-02,4,Blended,Completed,41,47,12643
T003280,E01415,Power BI,2026-06-28,6,Classroom,Completed,65,74,14747
T003281,E01416,Advanced Excel,2024-05-22,4,Online,Completed,77,100,11245
T003282,E01417,Python Analytics,2024-03-15,16,Blended,Completed,76,100,3563
T003283,E01417,Project Management,2024-01-23,4,Blended,Completed,73,84,5312
T003284,E01417,GenAI for Business,2025-09-22,4,Classroom,Completed,47,74,11784
T003285,E01417,Cloud Fundamentals,2024-01-01,12,Classroom,Completed,49,63,4626
T003286,E01419,Negotiation,2026-07-15,6,Blended,Completed,66,92,14753
T003287,E01419,Advanced Excel,2026-05-30,24,Blended,Completed,53,68,11384
T003288,E01419,Communication Skills,2026-03-11,6,Blended,Completed,53,79,5640
T003289,E01421,GenAI for Business,2026-07-16,4,Online,Completed,45,52,12877
T003290,E01422,Python Analytics,2026-07-25,4,Blended,Completed,61,75,4036
T003291,E01422,Cloud Fundamentals,2026-08-02,2,Blended,Completed,48,67,7211
T003292,E01422,Python Analytics,2025-11-30,6,Classroom,Completed,51,73,12316
T003293,E01422,Power BI,2025-06-14,4,Blended,Incomplete,46,62,3992
T003294,E01422,Advanced Excel,2026-01-20,16,Classroom,Completed,50,63,11401
T003295,E01423,Leadership Essentials,2024-12-05,4,Online,Completed,77,96,7948
T003296,E01423,Leadership Essentials,2026-07-12,24,Online,Completed,76,97,2919
T003297,E01423,Power BI,2026-02-09,8,Online,Completed,69,80,13043
T003298,E01423,Python Analytics,2026-08-20,24,Blended,Completed,52,61,6520
T003299,E01424,Data Privacy,2025-01-01,2,Classroom,Completed,61,88,6037
T003300,E01424,Python Analytics,2025-10-15,6,Online,Incomplete,40,49,8607
T003301,E01424,GenAI for Business,2025-08-23,4,Blended,Incomplete,72,79,13070
T003302,E01425,Advanced Excel,2025-05-23,16,Online,Completed,66,79,12088
T003303,E01425,Project Management,2024-01-21,6,Online,Completed,71,84,8669
T003304,E01425,Communication Skills,2025-02-18,24,Classroom,Completed,52,76,4322
T003305,E01426,Project Management,2024-10-26,4,Online,Completed,40,55,5237
T003306,E01426,Cloud Fundamentals,2025-09-21,8,Blended,Completed,52,59,9240
T003307,E01428,Project Management,2025-04-06,4,Online,Completed,78,98,14709
T003308,E01431,Leadership Essentials,2025-07-10,12,Blended,Completed,43,62,10458
T003309,E01431,Cloud Fundamentals,2026-05-07,4,Blended,Completed,49,69,7164
T003310,E01434,Python Analytics,2025-12-30,8,Online,Completed,40,68,4947
T003311,E01434,GenAI for Business,2024-03-15,16,Blended,Completed,73,99,7324
T003312,E01435,Project Management,2026-05-02,16,Online,Completed,56,72,13306
T003313,E01435,Leadership Essentials,2024-11-14,24,Online,Completed,52,59,8493
T003314,E01435,Communication Skills,2025-12-10,12,Blended,Completed,64,87,5719
T003315,E01435,Project Management,2026-08-11,6,Online,Completed,47,69,5424
T003316,E01435,Cloud Fundamentals,2025-11-12,12,Online,Completed,55,69,12032
T003317,E01437,Project Management,2026-06-03,4,Classroom,Completed,53,75,8181
T003318,E01437,Communication Skills,2026-02-18,8,Classroom,Completed,51,76,7678
T003319,E01437,Negotiation,2026-03-12,8,Online,Completed,49,67,12294
T003320,E01437,Leadership Essentials,2026-01-14,8,Classroom,Completed,77,91,9445
T003321,E01438,Cloud Fundamentals,2025-01-12,8,Blended,Completed,41,51,6630
T003322,E01438,Data Privacy,2024-10-15,8,Classroom,Completed,60,75,13877
T003323,E01439,Power BI,2024-03-02,12,Blended,Incomplete,60,82,11881
T003324,E01439,Leadership Essentials,2026-04-06,24,Blended,Completed,42,56,13949
T003325,E01439,Advanced Excel,2024-09-19,6,Online,Completed,57,63,9477
T003326,E01440,Power BI,2024-06-10,6,Online,Incomplete,58,73,13098
T003327,E01440,Data Privacy,2024-07-26,12,Online,Completed,48,65,4651
T003328,E01440,Communication Skills,2026-05-03,4,Blended,Completed,71,87,12935
T003329,E01441,Data Privacy,2025-09-01,8,Blended,Completed,42,50,2403
T003330,E01441,Cloud Fundamentals,2025-12-21,16,Online,Completed,55,61,7430
T003331,E01442,Python Analytics,2026-08-05,12,Classroom,Completed,59,84,7023
T003332,E01442,Negotiation,2026-06-20,12,Blended,Completed,50,76,11766
T003333,E01442,Communication Skills,2026-05-31,6,Blended,Completed,55,66,11109
T003334,E01444,Leadership Essentials,2024-08-13,4,Blended,Completed,64,89,7874
T003335,E01444,Cloud Fundamentals,2025-12-14,6,Online,Completed,72,95,4700
T003336,E01445,Data Privacy,2026-02-21,16,Blended,Completed,47,65,5961
T003337,E01445,Communication Skills,2025-04-06,4,Classroom,Completed,74,99,5240
T003338,E01445,Cloud Fundamentals,2025-11-21,8,Blended,Completed,65,92,2378
T003339,E01445,Data Privacy,2025-08-17,2,Classroom,Completed,53,72,8033
T003340,E01445,Negotiation,2024-08-04,6,Classroom,Completed,48,56,6098
T003341,E01446,Negotiation,2024-08-31,6,Classroom,Completed,40,46,10336
T003342,E01446,Cloud Fundamentals,2025-07-07,12,Blended,Completed,50,60,6291
T003343,E01446,Leadership Essentials,2025-05-17,16,Blended,Completed,76,89,13206
T003344,E01446,Advanced Excel,2025-09-21,16,Online,Completed,72,91,14913
T003345,E01446,Power BI,2024-03-03,12,Blended,Completed,44,66,5217
T003346,E01448,GenAI for Business,2024-11-01,6,Classroom,Completed,76,99,5690
T003347,E01448,Negotiation,2026-05-27,6,Classroom,Completed,76,90,8616
T003348,E01448,Advanced Excel,2026-07-01,6,Blended,Completed,50,62,10396
T003349,E01448,Communication Skills,2026-08-28,24,Online,Incomplete,53,70,9276
T003350,E01448,Python Analytics,2026-04-23,2,Blended,Completed,65,75,13109
T003351,E01449,Python Analytics,2024-11-28,12,Classroom,Completed,49,68,8489
T003352,E01449,GenAI for Business,2025-08-31,16,Blended,Completed,55,77,13036
T003353,E01450,GenAI for Business,2026-06-21,4,Classroom,Completed,63,70,11839
T003354,E01450,Leadership Essentials,2025-03-10,4,Online,Completed,70,87,10477
T003355,E01452,Power BI,2025-07-18,4,Blended,Completed,40,67,10180
T003356,E01452,Advanced Excel,2024-10-09,12,Online,Incomplete,67,74,12598
T003357,E01452,Power BI,2026-07-12,8,Blended,Completed,75,87,9294
T003358,E01452,Advanced Excel,2026-02-28,6,Blended,Completed,62,68,11323
T003359,E01453,Leadership Essentials,2025-05-23,12,Online,Completed,77,87,14596
T003360,E01453,Negotiation,2025-01-12,6,Online,Completed,42,53,3848
T003361,E01453,Cloud Fundamentals,2025-12-18,12,Classroom,Completed,54,75,6351
T003362,E01453,Data Privacy,2026-02-18,4,Classroom,Completed,67,87,5505
T003363,E01453,Python Analytics,2024-11-27,12,Blended,Completed,42,62,13293
T003364,E01454,GenAI for Business,2024-05-24,8,Online,Completed,51,58,1764
T003365,E01455,Advanced Excel,2026-03-03,6,Blended,Completed,74,96,14485
T003366,E01455,Negotiation,2026-03-03,12,Online,Completed,44,67,14816
T003367,E01455,GenAI for Business,2025-02-09,8,Classroom,Completed,64,82,3174
T003368,E01456,Power BI,2024-09-23,16,Classroom,Completed,48,61,13132
T003369,E01456,Leadership Essentials,2026-07-26,24,Online,Completed,48,55,5457
T003370,E01456,Python Analytics,2024-09-02,6,Blended,Completed,77,100,11973
T003371,E01457,Communication Skills,2024-02-23,8,Classroom,Completed,46,55,13401
T003372,E01458,Communication Skills,2024-11-27,6,Blended,Completed,57,84,4877
T003373,E01458,Project Management,2025-12-22,8,Classroom,Incomplete,64,90,13406
T003374,E01458,GenAI for Business,2024-07-28,8,Blended,Completed,74,95,14038
T003375,E01458,Python Analytics,2025-02-23,4,Blended,Completed,61,69,13582
T003376,E01459,Power BI,2026-03-19,4,Blended,Completed,42,68,14309
T003377,E01460,Power BI,2025-09-10,8,Online,Completed,76,100,7006
T003378,E01461,Communication Skills,2024-07-11,6,Classroom,Completed,72,92,7703
T003379,E01461,Communication Skills,2024-01-30,2,Online,Completed,58,66,9867
T003380,E01461,Cloud Fundamentals,2024-07-21,2,Online,Completed,47,56,12094
T003381,E01461,Power BI,2024-03-30,24,Blended,Completed,56,68,3085
T003382,E01463,GenAI for Business,2026-06-14,8,Classroom,Completed,59,67,8659
T003383,E01464,Python Analytics,2025-09-26,24,Blended,Completed,53,65,2322
T003384,E01466,Communication Skills,2024-01-20,2,Classroom,Completed,47,58,3385
T003385,E01467,Power BI,2026-03-27,16,Online,Completed,69,90,14875
T003386,E01468,Project Management,2025-06-22,6,Online,Completed,43,69,5405
T003387,E01468,Data Privacy,2024-10-13,8,Classroom,Completed,68,83,9728
T003388,E01469,Communication Skills,2026-02-04,6,Online,Completed,74,89,2368
T003389,E01470,Cloud Fundamentals,2024-01-16,16,Blended,Completed,73,80,7540
T003390,E01470,Power BI,2026-04-03,16,Classroom,Completed,52,70,7033
T003391,E01470,Negotiation,2025-10-28,4,Blended,Incomplete,73,82,3866
T003392,E01470,Advanced Excel,2024-02-17,2,Blended,Completed,64,76,3467
T003393,E01470,Python Analytics,2026-07-13,4,Classroom,Completed,72,79,13842
T003394,E01471,Negotiation,2025-02-01,16,Classroom,Completed,43,50,9127
T003395,E01471,Advanced Excel,2026-02-15,12,Blended,Completed,65,77,3191
T003396,E01472,Communication Skills,2026-01-04,2,Classroom,Completed,60,71,13156
T003397,E01473,GenAI for Business,2024-05-09,12,Classroom,Completed,67,78,2540
T003398,E01474,Python Analytics,2026-06-04,16,Classroom,Completed,42,47,14511
T003399,E01474,Communication Skills,2026-06-27,8,Classroom,Completed,64,90,11022
T003400,E01474,Python Analytics,2025-10-30,6,Online,Completed,61,88,6253
T003401,E01475,Negotiation,2026-02-22,4,Classroom,Completed,57,72,14674
T003402,E01475,Python Analytics,2025-02-14,4,Online,Completed,46,57,1853
T003403,E01476,Python Analytics,2026-08-17,12,Blended,Completed,66,73,13515
T003404,E01476,Negotiation,2024-07-29,4,Online,Completed,66,72,10372
T003405,E01476,Communication Skills,2025-06-30,16,Blended,Completed,68,95,2138
T003406,E01477,GenAI for Business,2024-05-25,4,Blended,Completed,53,69,13656
T003407,E01480,Advanced Excel,2024-02-02,8,Online,Completed,50,56,8557
T003408,E01480,Power BI,2025-02-13,6,Online,Completed,71,84,9934
T003409,E01480,Python Analytics,2024-08-25,12,Classroom,Completed,51,74,10092
T003410,E01480,Power BI,2024-08-20,4,Online,Completed,71,90,9237
T003411,E01481,Data Privacy,2024-12-13,4,Classroom,Completed,59,69,4100
T003412,E01481,Data Privacy,2026-03-11,4,Classroom,Completed,59,73,1967
T003413,E01481,GenAI for Business,2025-12-27,24,Classroom,Completed,46,66,9870
T003414,E01482,Power BI,2024-12-31,16,Online,Incomplete,45,59,12426
T003415,E01483,Data Privacy,2024-06-05,4,Blended,Completed,48,63,6255
T003416,E01483,Advanced Excel,2024-09-30,16,Blended,Completed,66,79,2774
T003417,E01483,Python Analytics,2025-03-05,16,Online,Completed,70,84,9452
T003418,E01484,Project Management,2026-08-18,24,Blended,Completed,71,79,5148
T003419,E01484,Communication Skills,2026-04-14,24,Blended,Incomplete,52,80,9304
T003420,E01484,GenAI for Business,2026-07-20,2,Classroom,Completed,61,75,13148
T003421,E01484,Power BI,2026-06-09,16,Classroom,Completed,62,67,7055
T003422,E01484,Advanced Excel,2026-04-08,4,Online,Completed,45,51,6570
T003423,E01485,Python Analytics,2025-02-28,16,Online,Completed,58,79,3890
T003424,E01485,Project Management,2026-08-18,8,Classroom,Completed,53,59,10859
T003425,E01485,GenAI for Business,2024-02-02,24,Blended,Completed,40,55,2818
T003426,E01485,Cloud Fundamentals,2024-04-12,12,Blended,Completed,41,52,14041
T003427,E01485,Python Analytics,2025-08-18,2,Online,Completed,49,64,13147
T003428,E01488,Python Analytics,2026-04-11,4,Online,Incomplete,75,91,2724
T003429,E01488,Cloud Fundamentals,2026-08-05,6,Blended,Completed,53,77,13060
T003430,E01488,Python Analytics,2026-03-13,16,Blended,Completed,71,81,1548
T003431,E01488,Advanced Excel,2026-04-17,12,Online,Completed,73,85,12298
T003432,E01488,Project Management,2026-08-25,2,Blended,Completed,44,68,1563
T003433,E01490,GenAI for Business,2026-01-19,2,Online,Completed,72,100,5820
T003434,E01490,GenAI for Business,2026-07-15,12,Online,Completed,78,95,8707
T003435,E01490,Cloud Fundamentals,2024-05-20,2,Classroom,Completed,40,46,8535
T003436,E01490,Python Analytics,2025-11-01,12,Classroom,Completed,48,64,14307
T003437,E01490,Negotiation,2026-07-10,2,Blended,Completed,78,95,13541
T003438,E01492,Communication Skills,2026-07-17,2,Classroom,Completed,58,76,5160
T003439,E01492,Advanced Excel,2026-03-09,12,Blended,Completed,55,78,7522
T003440,E01493,Python Analytics,2024-08-28,24,Blended,Completed,47,75,12778
T003441,E01494,Cloud Fundamentals,2026-04-19,12,Online,Completed,78,96,9434
T003442,E01494,Project Management,2025-07-15,12,Classroom,Completed,65,81,14019
T003443,E01494,Negotiation,2026-03-07,2,Blended,Completed,68,75,3606
T003444,E01496,GenAI for Business,2025-09-14,12,Classroom,Completed,50,63,7790
T003445,E01497,Leadership Essentials,2025-10-19,6,Classroom,Completed,75,100,8612
T003446,E01498,GenAI for Business,2025-04-11,4,Blended,Completed,50,77,1774
T003447,E01498,Project Management,2025-12-28,2,Online,Incomplete,40,45,7273
T003448,E01498,Leadership Essentials,2025-11-15,8,Classroom,Completed,77,85,7039
T003449,E01498,Data Privacy,2026-04-02,12,Blended,Completed,76,83,7773
T003450,E01499,Cloud Fundamentals,2025-12-14,8,Classroom,Completed,48,55,5919
T003451,E01500,Leadership Essentials,2026-08-28,16,Classroom,Completed,77,100,5151
T003452,E01500,Project Management,2026-08-03,12,Blended,Completed,63,88,7161
T003453,E01500,Cloud Fundamentals,2026-03-31,6,Online,Completed,63,80,4805
T003454,E01500,Negotiation,2026-03-17,2,Blended,Incomplete,66,75,1786
T003455,E01500,Project Management,2026-07-29,2,Online,Completed,68,89,12759
T003456,E01502,Leadership Essentials,2026-03-12,24,Blended,Completed,40,54,5393
T003457,E01502,Power BI,2025-01-26,12,Classroom,Incomplete,43,50,8221
T003458,E01502,Negotiation,2024-04-14,4,Blended,Completed,58,77,7819
T003459,E01502,Python Analytics,2025-06-20,16,Blended,Completed,55,68,14183
T003460,E01502,Python Analytics,2024-12-11,12,Blended,Completed,58,72,5032
T003461,E01505,Project Management,2024-03-05,24,Blended,Completed,49,67,11426
T003462,E01505,Project Management,2024-01-07,2,Blended,Completed,72,86,11440
T003463,E01505,GenAI for Business,2025-11-25,4,Online,Completed,52,68,13047
T003464,E01505,Python Analytics,2024-05-07,4,Classroom,Completed,78,100,5866
T003465,E01506,Project Management,2026-05-29,24,Online,Completed,75,84,9961
T003466,E01506,Negotiation,2026-03-29,12,Blended,Completed,72,91,7031
T003467,E01506,Power BI,2025-12-26,12,Online,Completed,46,66,11900
T003468,E01506,Leadership Essentials,2026-03-24,24,Blended,Completed,42,48,7601
T003469,E01506,GenAI for Business,2026-04-29,4,Blended,Completed,60,77,7069
T003470,E01507,Negotiation,2026-04-25,6,Classroom,Completed,48,71,12873
T003471,E01507,Python Analytics,2024-11-10,16,Online,Completed,43,50,13022
T003472,E01507,Negotiation,2024-09-22,6,Online,Completed,66,87,8828
T003473,E01508,Project Management,2025-05-04,4,Blended,Completed,55,76,9450
T003474,E01508,Advanced Excel,2025-10-01,12,Blended,Completed,64,84,6982
T003475,E01508,Python Analytics,2025-04-01,12,Online,Completed,75,92,13478
T003476,E01508,Python Analytics,2026-06-09,4,Blended,Incomplete,42,65,8350
T003477,E01508,GenAI for Business,2025-02-19,2,Online,Completed,75,92,7346
T003478,E01510,Data Privacy,2026-05-06,2,Online,Completed,44,67,7948
T003479,E01510,Advanced Excel,2026-07-13,24,Blended,Completed,77,100,8838
T003480,E01510,GenAI for Business,2026-06-11,6,Blended,Completed,69,86,5990
T003481,E01510,Communication Skills,2026-07-31,16,Classroom,Completed,75,86,13758
T003482,E01512,Power BI,2026-07-19,2,Classroom,Completed,69,77,6296
T003483,E01512,Leadership Essentials,2026-08-09,2,Blended,Completed,46,62,12474
T003484,E01513,Negotiation,2026-01-19,16,Classroom,Completed,71,80,8138
T003485,E01513,Data Privacy,2024-09-07,12,Blended,Completed,40,47,4557
T003486,E01513,Communication Skills,2024-10-21,2,Blended,Completed,49,55,3525
T003487,E01515,Communication Skills,2026-08-04,2,Online,Incomplete,53,71,12850
T003488,E01515,Leadership Essentials,2026-07-15,8,Classroom,Completed,59,79,3911
T003489,E01516,Python Analytics,2026-06-08,6,Online,Completed,71,96,5233
T003490,E01516,Data Privacy,2026-01-27,4,Online,Completed,49,63,7200
T003491,E01517,Negotiation,2025-12-11,2,Blended,Completed,50,68,10593
T003492,E01517,Cloud Fundamentals,2025-07-31,8,Online,Completed,74,91,5959
T003493,E01517,Power BI,2025-11-27,2,Blended,Completed,50,66,10356
T003494,E01517,Python Analytics,2025-06-19,2,Blended,Completed,67,85,13424
T003495,E01518,Leadership Essentials,2025-02-08,8,Classroom,Completed,40,47,2217
T003496,E01518,GenAI for Business,2026-03-12,12,Blended,Completed,46,60,11657
T003497,E01518,Project Management,2025-05-22,24,Online,Completed,47,57,2689
T003498,E01519,Python Analytics,2025-08-11,8,Classroom,Completed,66,76,6452
T003499,E01519,Python Analytics,2026-07-18,6,Classroom,Completed,42,63,10239
T003500,E01519,GenAI for Business,2024-10-02,16,Classroom,Incomplete,78,88,14823
T003501,E01521,Cloud Fundamentals,2024-01-21,2,Blended,Completed,55,81,2296
T003502,E01522,Advanced Excel,2024-09-23,24,Classroom,Completed,67,81,1671
T003503,E01522,GenAI for Business,2024-08-30,12,Classroom,Completed,74,81,13722
T003504,E01522,Leadership Essentials,2024-03-06,6,Classroom,Completed,60,73,9336
T003505,E01523,Project Management,2025-04-04,6,Online,Completed,59,64,9282
T003506,E01523,GenAI for Business,2025-10-21,8,Blended,Completed,69,82,3153
T003507,E01524,Negotiation,2026-01-22,4,Classroom,Completed,43,51,13286
T003508,E01524,Leadership Essentials,2026-08-25,16,Blended,Completed,48,70,13288
T003509,E01524,Leadership Essentials,2026-02-22,12,Online,Completed,64,88,2608
T003510,E01525,Project Management,2024-08-27,6,Online,Completed,72,95,2600
T003511,E01525,GenAI for Business,2024-03-21,24,Blended,Completed,54,59,9965
T003512,E01525,Power BI,2025-07-04,8,Blended,Completed,59,84,4472
T003513,E01528,Communication Skills,2025-05-03,6,Classroom,Completed,42,67,2390
T003514,E01528,Python Analytics,2024-04-12,6,Classroom,Completed,56,62,3054
T003515,E01528,Advanced Excel,2026-01-25,16,Online,Completed,46,60,9590
T003516,E01529,Project Management,2026-05-24,6,Classroom,Completed,64,82,14089
T003517,E01529,Python Analytics,2024-03-25,24,Classroom,Completed,40,51,13637
T003518,E01529,Data Privacy,2025-08-05,2,Blended,Completed,75,95,7351
T003519,E01529,Python Analytics,2024-06-17,6,Classroom,Completed,43,60,3928
T003520,E01530,Communication Skills,2025-09-24,12,Blended,Completed,62,72,12939
T003521,E01530,Leadership Essentials,2026-07-18,4,Blended,Completed,43,71,11304
T003522,E01530,Leadership Essentials,2025-10-15,24,Blended,Completed,60,68,8067
T003523,E01530,GenAI for Business,2026-07-29,8,Blended,Completed,53,63,6684
T003524,E01532,Power BI,2024-01-16,2,Blended,Completed,61,69,12221
T003525,E01532,Python Analytics,2025-12-02,6,Classroom,Completed,41,47,13737
T003526,E01532,Communication Skills,2024-07-14,6,Blended,Completed,40,62,12563
T003527,E01532,Leadership Essentials,2024-06-02,16,Blended,Completed,40,52,4164
